Date,Player,Position,Team,Price,NFLALLDAY_ASSETS_URL
2022-09-08 00:00:00-07:00,A'Shawn Robinson,DL,Los Angeles Rams,11.614840989399294,https://assets.nflallday.com/editions/base/4b0abc89-74de-4fa5-822c-b7d496daaca8/play_4b0abc89-74de-4fa5-822c-b7d496daaca8_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,A.J. Brown,WR,Tennessee Titans,20.166666666666668,https://assets.nflallday.com/editions/divisional_round/f1dfc621-8672-45d5-8c8d-a92f8ad0dce7/play_f1dfc621-8672-45d5-8c8d-a92f8ad0dce7_divisional_round_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,A.J. Green,WR,Arizona Cardinals,10.0,https://assets.nflallday.com/editions/locked_in/e1f77f3a-26ff-45b6-8dac-4a2f4471afb9/play_e1f77f3a-26ff-45b6-8dac-4a2f4471afb9_locked_in_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,A.J. Moore Jr.,DB,Houston Texans,6.076923076923077,https://assets.nflallday.com/editions/make_the_stop/add4784d-2384-4eda-ade9-244ddc0fa7db/play_add4784d-2384-4eda-ade9-244ddc0fa7db_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,A.J. Terrell,DB,Atlanta Falcons,8.625,https://assets.nflallday.com/editions/make_the_stop/63ebf06c-4967-4779-b90a-b712c4e7abf8/play_63ebf06c-4967-4779-b90a-b712c4e7abf8_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,AJ Dillon,RB,Green Bay Packers,19.333333333333332,https://assets.nflallday.com/editions/base/2ae1e1e3-1190-4fc4-8b4f-daba9f26368d/play_2ae1e1e3-1190-4fc4-8b4f-daba9f26368d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Aaron Donald,DL,Los Angeles Rams,66.5,https://assets.nflallday.com/editions/make_the_stop/64269d76-b05f-424c-9f91-213869568487/play_64269d76-b05f-424c-9f91-213869568487_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Aaron Jones,RB,Green Bay Packers,19.867469879518072,https://assets.nflallday.com/editions/divisional_round/fc4b14f6-5d31-487a-ac6e-00fde2f57b68/play_fc4b14f6-5d31-487a-ac6e-00fde2f57b68_divisional_round_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Aaron Rodgers,QB,Green Bay Packers,340.0,https://assets.nflallday.com/editions/locked_in/0af2f287-8980-4131-8270-f9b1eb3ab77b/play_0af2f287-8980-4131-8270-f9b1eb3ab77b_locked_in_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Adam Butler,DL,Miami Dolphins,5.1875,https://assets.nflallday.com/editions/base/71e3463f-0f41-4752-ab66-41fee5049260/play_71e3463f-0f41-4752-ab66-41fee5049260_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Adam Thielen,WR,Minnesota Vikings,9.702970297029703,https://assets.nflallday.com/editions/base/2a0eda65-8f9a-4435-96d8-0d826bd41c9d/play_2a0eda65-8f9a-4435-96d8-0d826bd41c9d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Adrian Peterson,RB,Seattle Seahawks,9.904761904761905,https://assets.nflallday.com/editions/base/9a772eac-ef5b-4b33-80ad-b4c56f889418/play_9a772eac-ef5b-4b33-80ad-b4c56f889418_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Aeneas Williams,DB,Phoenix Cardinals,50.0,https://assets.nflallday.com/editions/setting_the_bar/458e22ff-1603-48af-9440-da1ebc55490f/play_458e22ff-1603-48af-9440-da1ebc55490f_setting_the_bar_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Akiem Hicks,DL,Chicago Bears,5.321428571428571,https://assets.nflallday.com/editions/base/992570ef-fb4d-4f56-a8c2-baaaaf1d1aaf/play_992570ef-fb4d-4f56-a8c2-baaaaf1d1aaf_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Albert Okwuegbunam,TE,Denver Broncos,9.85483870967742,https://assets.nflallday.com/editions/base/ae01567f-b31b-475c-a5d7-80717ce7297a/play_ae01567f-b31b-475c-a5d7-80717ce7297a_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Alex Okafor,DL,Kansas City Chiefs,5.333333333333333,https://assets.nflallday.com/editions/base/3cb28f35-fbba-4f09-822d-f155e5859ff0/play_3cb28f35-fbba-4f09-822d-f155e5859ff0_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Alex Singleton,LB,Philadelphia Eagles,7.2,https://assets.nflallday.com/editions/make_the_stop/b55801c7-9101-49bc-aa57-7aef9fa2d773/play_b55801c7-9101-49bc-aa57-7aef9fa2d773_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Ali Marpet,OL,Tampa Bay Buccaneers,73.8,https://assets.nflallday.com/editions/in_the_trenches/f73aac25-612d-460a-baad-cfae280ead26/play_f73aac25-612d-460a-baad-cfae280ead26_in_the_trenches_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Allen Lazard,WR,Green Bay Packers,15.515625,https://assets.nflallday.com/editions/base/ed40dfa9-e21d-4675-90ec-145f85656cdd/play_ed40dfa9-e21d-4675-90ec-145f85656cdd_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Alvin Kamara,RB,New Orleans Saints,34.266666666666666,https://assets.nflallday.com/editions/base/adbf181d-7a28-434c-b428-1fd0d66da0b9/play_adbf181d-7a28-434c-b428-1fd0d66da0b9_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Amani Oruwariye,DB,Detroit Lions,51.0,https://assets.nflallday.com/editions/ball_hawk/fd61e576-82ad-4cb1-aed7-bdfea84c96ec/play_fd61e576-82ad-4cb1-aed7-bdfea84c96ec_ball_hawk_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Amari Cooper,WR,Dallas Cowboys,28.615384615384617,https://assets.nflallday.com/editions/move_the_chains/03f03221-2db7-40b5-8851-d8afef0b4853/play_03f03221-2db7-40b5-8851-d8afef0b4853_move_the_chains_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Ambry Thomas,DB,San Francisco 49ers,19.294117647058822,https://assets.nflallday.com/editions/he_called_game/d2e80ff0-4f52-4c7c-9d5b-11647f08f5e5/play_d2e80ff0-4f52-4c7c-9d5b-11647f08f5e5_he_called_game_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Amon-Ra St. Brown,WR,Detroit Lions,46.92,https://assets.nflallday.com/editions/base/52a34c53-5973-4b0a-99a1-821be08a2a33/play_52a34c53-5973-4b0a-99a1-821be08a2a33_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Andre Roberts,WR,Los Angeles Chargers,54.6,https://assets.nflallday.com/editions/afterburners/f24046e7-787c-4512-8e69-718b8168de90/play_f24046e7-787c-4512-8e69-718b8168de90_afterburners_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Andrew Whitworth,OL,Los Angeles Rams,12.625,https://assets.nflallday.com/editions/super_bowl_lvi/15599f98-eb01-411a-8dd4-115156d21c72/play_15599f98-eb01-411a-8dd4-115156d21c72_super_bowl_lvi_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Andy Dalton,QB,Chicago Bears,5.758620689655173,https://assets.nflallday.com/editions/base/2bc1ee5e-14c1-43e3-af41-7697619cc4e9/play_2bc1ee5e-14c1-43e3-af41-7697619cc4e9_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Anquan Boldin,WR,Arizona Cardinals,50.714285714285715,https://assets.nflallday.com/editions/highwire/b042f968-91a4-4405-a1d6-d5d4ed50dff6/play_b042f968-91a4-4405-a1d6-d5d4ed50dff6_highwire_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Anthony Barr,LB,Minnesota Vikings,253.0,https://assets.nflallday.com/editions/ball_hawk/103e7394-afe8-4c28-abc5-e6253427c392/play_103e7394-afe8-4c28-abc5-e6253427c392_ball_hawk_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Antoine Wesley,WR,Arizona Cardinals,7.523809523809524,https://assets.nflallday.com/editions/base/8a489073-f15e-4ffa-a304-ca8f7528b1a3/play_8a489073-f15e-4ffa-a304-ca8f7528b1a3_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Antonio Freeman,WR,Green Bay Packers,6.4,https://assets.nflallday.com/editions/gridiron/e48e92be-a68b-421e-b911-6a9a731e6a2d/play_e48e92be-a68b-421e-b911-6a9a731e6a2d_gridiron_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Antonio Gibson,RB,Washington Football Team,11.473684210526315,https://assets.nflallday.com/editions/base/8db12b61-fe8b-48a7-b782-2dc45625a1db/play_8db12b61-fe8b-48a7-b782-2dc45625a1db_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-08 00:00:00-07:00,Arizona Cardinals,Team,Arizona Cardinals,9.76923076923077,https://assets.nflallday.com/editions/make_the_stop/f3d5e287-4b07-4e65-87d7-7e451d486003/play_f3d5e287-4b07-4e65-87d7-7e451d486003_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
