Date,Player,Position,Team,Price,NFLALLDAY_ASSETS_URL
2022-09-22 00:00:00-07:00,A'Shawn Robinson,DL,Los Angeles Rams,7,https://assets.nflallday.com/editions/base/4b0abc89-74de-4fa5-822c-b7d496daaca8/play_4b0abc89-74de-4fa5-822c-b7d496daaca8_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,A.J. Brown,WR,Tennessee Titans,10,https://assets.nflallday.com/editions/divisional_round/f1dfc621-8672-45d5-8c8d-a92f8ad0dce7/play_f1dfc621-8672-45d5-8c8d-a92f8ad0dce7_divisional_round_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,A.J. Green,WR,Arizona Cardinals,4,https://assets.nflallday.com/editions/locked_in/e1f77f3a-26ff-45b6-8dac-4a2f4471afb9/play_e1f77f3a-26ff-45b6-8dac-4a2f4471afb9_locked_in_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,A.J. Moore Jr.,DB,Houston Texans,2,https://assets.nflallday.com/editions/make_the_stop/add4784d-2384-4eda-ade9-244ddc0fa7db/play_add4784d-2384-4eda-ade9-244ddc0fa7db_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,A.J. Terrell,DB,Atlanta Falcons,3,https://assets.nflallday.com/editions/make_the_stop/63ebf06c-4967-4779-b90a-b712c4e7abf8/play_63ebf06c-4967-4779-b90a-b712c4e7abf8_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,AJ Dillon,RB,Green Bay Packers,17,https://assets.nflallday.com/editions/base/2ae1e1e3-1190-4fc4-8b4f-daba9f26368d/play_2ae1e1e3-1190-4fc4-8b4f-daba9f26368d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Aaron Donald,DL,Los Angeles Rams,5,https://assets.nflallday.com/editions/make_the_stop/64269d76-b05f-424c-9f91-213869568487/play_64269d76-b05f-424c-9f91-213869568487_make_the_stop_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Aaron Jones,RB,Green Bay Packers,19,https://assets.nflallday.com/editions/divisional_round/fc4b14f6-5d31-487a-ac6e-00fde2f57b68/play_fc4b14f6-5d31-487a-ac6e-00fde2f57b68_divisional_round_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Aaron Rodgers,QB,Green Bay Packers,76,https://assets.nflallday.com/editions/locked_in/0af2f287-8980-4131-8270-f9b1eb3ab77b/play_0af2f287-8980-4131-8270-f9b1eb3ab77b_locked_in_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Adam Butler,DL,Miami Dolphins,11,https://assets.nflallday.com/editions/base/71e3463f-0f41-4752-ab66-41fee5049260/play_71e3463f-0f41-4752-ab66-41fee5049260_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Adam Thielen,WR,Minnesota Vikings,39,https://assets.nflallday.com/editions/base/2a0eda65-8f9a-4435-96d8-0d826bd41c9d/play_2a0eda65-8f9a-4435-96d8-0d826bd41c9d_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Adrian Peterson,RB,Seattle Seahawks,4,https://assets.nflallday.com/editions/base/9a772eac-ef5b-4b33-80ad-b4c56f889418/play_9a772eac-ef5b-4b33-80ad-b4c56f889418_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Aeneas Williams,DB,Phoenix Cardinals,1,https://assets.nflallday.com/editions/setting_the_bar/458e22ff-1603-48af-9440-da1ebc55490f/play_458e22ff-1603-48af-9440-da1ebc55490f_setting_the_bar_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Ahman Green,RB,Green Bay Packers,1,https://assets.nflallday.com/editions/rivalries/7d55b733-a9d8-4bf8-9892-ba22bf57e260/play_7d55b733-a9d8-4bf8-9892-ba22bf57e260_rivalries_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Akiem Hicks,DL,Chicago Bears,9,https://assets.nflallday.com/editions/base/992570ef-fb4d-4f56-a8c2-baaaaf1d1aaf/play_992570ef-fb4d-4f56-a8c2-baaaaf1d1aaf_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Albert Okwuegbunam,TE,Denver Broncos,11,https://assets.nflallday.com/editions/base/ae01567f-b31b-475c-a5d7-80717ce7297a/play_ae01567f-b31b-475c-a5d7-80717ce7297a_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Alex Okafor,DL,Kansas City Chiefs,7,https://assets.nflallday.com/editions/base/3cb28f35-fbba-4f09-822d-f155e5859ff0/play_3cb28f35-fbba-4f09-822d-f155e5859ff0_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
2022-09-22 00:00:00-07:00,Allen Lazard,WR,Green Bay Packers,10,https://assets.nflallday.com/editions/base/ed40dfa9-e21d-4675-90ec-145f85656cdd/play_ed40dfa9-e21d-4675-90ec-145f85656cdd_base_capture_AnimationCapture_Video_Square_Grey_1080_1080_Grey.mp4
